simulation,initial_mass,final_mass,velocity
cc_pk_kb_rt_mm_batrophaeus,1e-8,1e-8,0
cc_pk_kb_rt_mm_binfantis,1e-8,1e-8,0
cc_pk_kb_rt_mm_bthuringiensis,1e-8,1e-8,0
cc_pk_kb_rt_mm_corynebacterium,1e-8,1e-8,0
cc_pk_kb_rt_mm_mindicus,1e-8,1e-8,0
cc_pk_kb_rt_mm_mleteus,1e-8,1e-8,0
cc_pk_kb_rt_mm_pmegaterium,1e-8,1e-8,0
cc_pk_kb_rt_mm_sarlette,1e-8,1e-8,0
cc_pk_kb_rt_mm_sshinii,1e-8,1e-8,0
cc_pk_kb_rt_na_batrophaeus,1e-8,1e-8,0
cc_pk_kb_rt_na_binfantis,1e-8,1e-8,0
cc_pk_kb_rt_na_bthuringiensis,1e-8,1e-8,0
cc_pk_kb_rt_na_corynebacterium,1e-8,1e-8,0
cc_pk_kb_rt_na_mindicus,1e-8,1e-8,0
cc_pk_kb_rt_na_mleteus,1e-8,1e-8,0
cc_pk_kb_rt_na_sshinii,1e-8,1e-8,0
